Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX12290676,RNA-Seq of Chusquea circinata,Chusquea circinata,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10264554,,3545.55,1,33033260,9909978000,Bam13_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12290658,RNA-Seq of Otatea glauca,Otatea glauca,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10264540,,3772.82,1,35096933,10529079900,Bam14_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12286402,RNA-Seq of Rhipidocladum racemiflorum,Rhipidocladum racemiflorum,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10260294,,3786.84,1,35144100,10543230000,Bam12_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12286322,RNA-Seq of Indocalamus latifolius,Indocalamus latifolius,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10260214,,4086.32,1,37973158,11391947400,Bam08_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12281383,RNA-Seq of Chimonocalamuspallens,Chimonocalamus pallens,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10255330,,3200.13,1,29904017,8971205100,Bam03_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12280829,RNA-Seq of healthy Nerium oleander,Nerium oleander,Illumina HiSeq 2000,Chinese Academy of Forestry,SRP338046,pathogenic mechanism of Nerium oleande witches broom,SRS10254788,,2446,1,26965196,8089558800,NOHPI2,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218572,RNA-seq of PX-23 fruit,Malus floribunda,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194663,,3684.57,1,28855967,5194074060,W-32_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218570,RNA-seq of PX-20 fruit,Malus toringoides,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194661,,4396.86,1,34524457,6214402260,W-30_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218568,RNA-seq of PX-10 fruit,Malus kansuensis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194659,,3385.61,1,27664171,4979550780,W-28_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218567,RNA-seq of PX-09 fruit,Malus prattii,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194658,,3973.5,1,32505585,5851005300,W-27_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218563,RNA-seq of PS-29 fruit,Malus zumi,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194654,,5443.82,1,43866439,7895959020,D-52_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218560,RNA-seq of PS-25 fruit,Malus honanensis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194651,,4726.55,1,39318809,7077385620,W-21_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218517,RNA-seq of YL-38 fruit,Malus transitoria,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194608,,5967.75,1,48118127,8661262860,W-44_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218516,RNA-seq of PX-69 fruit,Malus ioensis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194607,,4551.65,1,37956315,6832136700,W-43L_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218513,RNA-seq of PX-62 fruit,Malus orientalis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194604,,4647.42,1,36374762,6547457160,W-40_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218512,RNA-seq of PX-61 fruit,Malus yunnanensis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194603,,4765.18,1,37248715,6704768700,W-39_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218511,RNA-seq of PX-55 fruit,Malus sikkimensis,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194602,,4360.5,1,36428304,6557094720,W-37L_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12218508,RNA-seq of PC-52 fruit,Malus asiatica,Illumina HiSeq 2000,Northwest A&F University,SRP337574,RNA-seq sequencing of cultivar and wild apples,SRS10194599,,5921.12,1,47620170,8571630600,D-47_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12144596,RNA-Seq of Ampelocalamus naibunensis,Ampelocalamus naibunensis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10123921,,3484.78,1,32276527,9682958100,Bam06_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12144038,RNA-Seq of Ampelocalamus calcareus,Ampelocalamus calcareus,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10123383,,2358.45,1,21891081,6567324300,Bam01_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12144037,RNA-Seq of Ampelocalamus actinotrichus,Ampelocalamus actinotrichus,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10123382,,4982.82,1,46123024,13836907200,Bam02_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12144036,RNA-Seq of Acidosasa purpurea,Acidosasa purpurea,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10123381,,2311.52,1,21498945,6449683500,Bam10_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12125573,RNA-Seq of willow leaves,Salix bebbiana,Illumina HiSeq 2500,"Laurentian Forestry Centre, Natural Resources Cana",SRP336420,Transcriptome analysis of Willow grown on oil sands tailings,SRS10105778,,1022.9,1,13905032,3446085106,TT11,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX12005568,RNA-Seq of Solanaceae rbcS,Anthocercis littorea,Illumina MiSeq,Cornell University,SRP335451,Evolution of Solanaceae Rubisco,SRS10012137,,36.2,1,121733,61109966,At4,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX12005566,RNA-Seq of Solanaceae rbcS,Vestia foetida,NextSeq 550,Cornell University,SRP335451,Evolution of Solanaceae Rubisco,SRS10012133,,182.04,1,1433509,432919718,Vf,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11987366,RNA-Seq of Eriolobus trilobatus: Evolution of Rosaceae fruit types,Eriolobus trilobatus,Illumina HiSeq 2000,"Institute of Botany, Chinese Academy of Sciences",SRP335245,"Phylogenomic conflict analysis in Malus s.l. reveal the widespread hybridization and polyploidy in the early diversification, with insights into the complex biogeographic history in the Northern Hemisphere",SRS9995063,,2472.73,1,17378881,5248422062,127-2009A,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX11987335,RNA-Seq of Amelanchier alnifolia: Evolution of Rosaceae fruit types,Amelanchier alnifolia,Illumina HiSeq 2000,"Institute of Botany, Chinese Academy of Sciences",SRP335245,"Phylogenomic conflict analysis in Malus s.l. reveal the widespread hybridization and polyploidy in the early diversification, with insights into the complex biogeographic history in the Northern Hemisphere",SRS9995047,,3442.16,1,31126334,9337900200,HM976,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX11970170,RNA-Seq of flesh,Vaccinium darrowii,Illumina HiSeq 2500,Zhejiang A&F University,SRP334811,RNA-Seq data of blueberry tissues,SRS9979384,,3429.52,1,41276312,11560375430,Flesh_3_R1.fastq.gz,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11919999,A pooled RNA-seq of shea tree: ICRAFF11537,Vitellaria paradoxa,Illumina HiSeq 2500,Ghent university,SRP334260,Vitellaria paradoxa isolate:KA01 Genome raw Pacbio data,SRS9930789,,9258.56,1,108611004,27152751000,New_Shea,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11831363,RNA-Seq of Betula lenta bark,Betula lenta,Illumina HiSeq 4000,Thuenen Institute of Forest Genetics,SRP333416,Transcriptome analysis of North American sweet birch (B. lenta L.) revealed a higher expression of genes involved in the biosynthesis of secondary metabolites than European silver birch (B. pendula ROTH),SRS9844906,,3644.48,1,38420133,11526039900,BL_BH_3,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX11808641,RNA-Seq of Citrus australasica: leaf FL 1,Citrus australasica,Illumina HiSeq 4000,University of Florida CREC,SRP333058,Transcriptome of HLB infected finger limes,SRS9823483,,5041.5,1,42957054,12887116200,FL-1,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11705804,RNA-seq of P.ferganensis,Prunus ferganensis,HiSeq X Ten,Zhengzhou fruit research institute,SRP331878,Different tissue of four wild species of peach,SRS9736631,,2222.91,1,20195863,6058758900,P.ferganensis-phloem-1,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11705797,RNA-seq of P.kansuensis,Prunus kansuensis,HiSeq X Ten,Zhengzhou fruit research institute,SRP331878,Different tissue of four wild species of peach,SRS9736624,,2319.07,1,21162536,6348760800,P.kansuensis-flower-1,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11668900,RA_S(13-15),Rhododendron anthopogon,Illumina NovaSeq 6000,CSIR-Institute of Himalayan Bioresource Technology,SRP331468,"Intra-annual variability in transcriptome of Rhododendron anthopogon, an evergreen shrub of Himalaya",SRS9701440,,4901.75,1,74767751,14746728517,Oct_2-2017,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR
SRX11662471,RNA-seq of Docynia delavay: mature fruits,Docynia delavayi,Illumina HiSeq 2000,Southwest Forestry University,SRP331369,Docynia delavayi Raw sequence reads,SRS9695213,,2263.41,1,25935895,7780768500,Docynia delavay_RP1_R1_R2,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11624969,RNA-Seq of Clematis lanuginosa:leaf,Clematis lanuginosa,HiSeq X Ten,Zhejiang Institute of Subtropical Crops,SRP330788,Clematis transcriptome sequencing,SRS9659602,,4566.05,1,37528955,11258686500,HS05,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11598056,RNAseq of male kiwi flowers,Actinidia deliciosa,Illumina HiSeq 2500,CEBAS-CSIC,SRP330388,Actinidia deliciosa Male Flowers Raw sequence reads,SRS9634736,,8962.73,1,80209378,24062813400,FCHJJGJCCXY_L1_CHKPEI85218010119_1.fq,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11482355,RNA-seq of floral bud tissue,Calibrachoa sellowiana,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522249,,2193,1,36472959,7138806649,JN048VOUCH_CSEL,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482353,RNA-seq of floral bud tissue,Brunfelsia nitida,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522248,,1573.01,1,24792822,4882786444,SS689A_BRNI,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482352,RNA-seq of floral bud tissue,Brunfelsia americana,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522247,,1277.98,1,20141348,3980305307,SS684A_BRAM,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482351,RNA-seq of floral bud tissue,Brunfelsia australis,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522246,,892.14,1,13992230,2788197901,SS683B_BRAU,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482350,RNA-seq of floral bud tissue,Brunfelsia densifolia,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522245,,1644,1,26083975,5110453293,SS682VOUCH_BRDE,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482345,RNA-seq of floral bud tissue,Calibrachoa missionica,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522241,,1698.84,1,26859126,5330455530,SS663D_CAMI,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482327,RNA-seq of floral bud tissue,Calibrachoa pubescens,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522222,,1515.54,1,23817805,4717973238,JG1090A_CAPU,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482319,RNA-seq of leaf tissue,Brunfelsia pauciflora,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522215,,1136.21,1,17722179,3511795526,MSBG-1985-420_BRPA,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482312,RNA-seq of floral bud tissue,Brunfelsia pilosa,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522207,,1646.02,1,26656290,5274414484,LW018VOUCH_BRPI,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482310,RNA-seq of floral bud tissue,Brunfelsia cuneifolia,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522205,,1887.03,1,31424411,6144794364,LW015A_BRCU,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482308,RNA-seq of floral bud tissue,Calibrachoa eglandulata,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522203,,2236.64,1,37054908,7286593781,LW012A_CAEG,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482306,RNA-seq of floral bud tissue,Calibrachoa linoides,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522202,,1297.64,1,21474104,4216173803,LW010A_CALI,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482305,RNA-seq of floral bud tissue,Calibrachoa caesia,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522200,,1297.22,1,20556670,4071762005,JG1004A_CACA,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482304,RNA-seq of floral bud tissue,Calibrachoa sendtneriana,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522199,,2028.68,1,33545706,6533497504,LW009A_CASE,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482303,RNA-seq of floral bud tissue,Calibrachoa heterophylla,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522198,,1905.66,1,31610073,6218964261,LW007A_CAHE,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482302,RNA-seq of floral bud tissue,Fabiana densa,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522197,,1735.42,1,27447196,5499654437,LW005A_FADE,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482300,RNA-seq of floral bud tissue,Brunfelsia lactea,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522195,,1467.27,1,22921036,4558759098,LW003B_BRLA,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482296,RNA-seq of floral bud tissue,Brunfelsia jamaicensis,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522192,,1632.7,1,25597355,5102527113,JN078A_BRJA,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482294,RNA-seq of floral bud tissue,Calibrachoa thymifolia,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522189,,1526.16,1,23765518,4706238469,JG1003B_CATH,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482291,RNA-seq of floral bud tissue,Brunfelsia grandiflora,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522187,,1909.68,1,30364753,5978702195,JN065C_BRGR,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482287,RNA-seq of floral bud tissue,Brunfelsia brasiliensis,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522182,,1954.06,1,32268297,6366037104,JN056VOUCH_BRBR,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482286,RNA-seq of floral bud tissue,Calibrachoa elegans,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522181,,1586.04,1,26428713,5124225095,JN055VOUCH_CAEL,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482283,RNA-seq of leaf tissue,Fabiana viscosa,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522179,,1227.7,1,19763959,3944162391,FviscosaVentura_FAVI,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11482282,RNA-seq of leaf tissue,Brunfelsia plicata,Illumina NovaSeq 6000,University of Colorado,SRP328672,Floral bud RNA-seq in the Petunieae clade of Solanaceae,SRS9522177,,1540.72,1,24213136,4809918731,FBG778E_FBRP,RNA-Seq,TRANSCRIPTOMIC,PolyA
SRX11348741,RNA-Seq of Solanum betaceum Inoculated at 6 Hours Replicate 3,Solanum betaceum,Illumina HiSeq 3000,Universidad de los Andes,SRP326848,Transcriptome of Solanum betaceum infected by Phytophthora betacei,SRS9395698,,13254.43,1,113326857,33998057100,R6_hpi_3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11338890,GSM5415621: Mallotus_japonicus_mature_Leaf; Mallotus japonicus; RNA-Seq,Mallotus japonicus,Illumina HiSeq 2000,GEO,SRP326666,Gene-metabolite network analysis revealed tissue specific accumulation of therapeutic metabolites in Mallotus japonicus,SRS9377378,,1753.03,1,13177546,2661864292,,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11328178,Control (C) seedling roots from Randia armata (R) mature mother tree 117870,Randia armata,Illumina HiSeq 2500,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364428,,2248.78,1,14783482,4435044600,R117870C,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11328175,Control (C) seedling roots from Calophyllum longifolium (CL) mature mother tree 24291,Calophyllum longifolium,Illumina HiSeq 2500,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364426,,2002.22,1,13305901,3991770300,CL24291C,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11328153,Live soil (LS) treated seedling roots from Trichilia tuberculata (TT) mature mother tree 517,Trichilia tuberculata,Illumina HiSeq 2500,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364403,,2609.73,1,16684361,5005308300,TT517LS,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11328118,Salicylic acid (SA) treated seedling roots from Protium tenuifolium (P) mature mother tree 1421,Protium tenuifolium,Illumina HiSeq 2500,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364368,,2144.01,1,14044490,4213347000,P1421SA,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11328101,Live soil (LS) treated seedling roots from Quararibea asterolepis (QA) mature mother tree 518,Quararibea asterolepis,Illumina HiSeq 2500,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364351,,2350.39,1,16402520,4920756000,QA518LS,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11328095,Salicylic acid (SA) treated seedling roots from Swartzia simplex (SS) mature mother tree 5173,Swartzia simplex,NextSeq 550,The Pennsylvania State University,SRP079907,"Genetic diversity, resistance genes, and negative density dependence in tropical tree seedling dynamics Transcriptome",SRS9364345,,3093.35,1,29051348,8715404400,SS5173SA,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX11290866,Transcriptome analysis in Sumac,Rhus coriaria,Illumina NovaSeq 6000,Erciyes University,SRP326073,"Transcriptome analysis in Sumac (Rhus coriaria),",SRS9319060,,1289,1,21473937,4337735274,Sumac 01,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX11217462,BJ-3,Illicium verum,Illumina NovaSeq 6000,Wenshan State Academy of Agricultural Sciences,SRP325449,Illicium verum Transcriptome or Gene expression,SRS9271553,,3006.6,1,32027157,9608147100,BJ-3,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX11194080,RNA-SEQ of Melocactus glaucescens: in vitro shoot organogenesis,Melocactus glaucescens,Illumina HiSeq 3000,Federal University of Vicosa,SRP285489,Transcriptome analysis of Melocactus glaucescens (Cactaceae),SRS7432648,,1424.41,1,17721739,3579791278,Mg_CTRL_03_L4,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX11192594,RNA-seq of Radix Ardisia: fresh root,Ardisia crenata,Illumina HiSeq 4000,Guizhou University of Traditional Chinese Medicine,SRP324963,RNA-seq of Radix Ardisia,SRS9248416,,2688.63,1,30932371,9243781820,AC3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11156958,RNA-Seq of flower derived from Rhododendron facetum,Rhododendron facetum,Illumina HiSeq 4000,Yunnan University,SRP324248,RNA Sequencing,SRS9218461,,2556.63,1,28096232,8485062064,MMF_2,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11156956,RNA-Seq of flower derived from Rhododendron lacteum,Rhododendron lacteum,Illumina HiSeq 4000,Yunnan University,SRP324248,RNA Sequencing,SRS9218459,,2773.09,1,30191563,9117852026,RH_4,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11156950,RNA-Seq of flower derived from Rhododendron pachypodum,Rhododendron pachypodum,Illumina HiSeq 4000,Yunnan University,SRP324248,RNA Sequencing,SRS9218451,,2707.46,1,29347160,8862842320,YN_4,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX11155871,Stem_rep2,Ilex asprella,Illumina NovaSeq 6000,The Chinese University of Hong Kong,SRP324203,Chromosomal level genome of Ilex asprella and insight into antiviral triterpenoid pathway,SRS9217444,,2085.43,1,22199818,6659832433,Stem_rep2,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX10718790,Heptacodium miconioides genome,Heptacodium miconioides,Illumina NovaSeq 6000,Taizhou University,SRP317925,Heptacodium miconioides genome,SRS8809349,,3122.05,1,32637197,9791159100,HEX1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10708698,N1,Carpinus putoensis,Illumina HiSeq 2000,Nanjing Forestry University,SRP312054,Transcriptome analysis of rare Carpinus putoensis plants under NO2 stress,SRS8573427,,2636.44,1,28002082,8400624600,N1,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX10675555,Phylogenetic analyses of Caprifoliaceae,Lonicera maackii,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769496,,3303.23,1,36882611,11064783300,Lonicera_maackii,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675554,Phylogenetic analyses of Caprifoliaceae,Linnaea borealis,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769495,,3989.74,1,44739903,13421970900,Linnaea_borealis,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675553,Phylogenetic analyses of Caprifoliaceae,Leycesteria formosa,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769494,,3574.26,1,40037172,12011151600,Leycesteria_formosa,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675552,Phylogenetic analyses of Caprifoliaceae,Kolkwitzia amabilis,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769493,,4103.09,1,45981397,13794419100,Kolkwitzia_amabilis,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675550,Phylogenetic analyses of Caprifoliaceae,Dipelta floribunda,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769491,,3393.34,1,38290585,11487175500,Dipelta_floribunda,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675549,Phylogenetic analyses of Caprifoliaceae,Diervilla sessilifolia,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769489,,3912.06,1,20619959,6185987700,Dievilla_sessilifolia,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675548,Phylogenetic analyses of Caprifoliaceae,Zabelia dielsii,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769490,,2647.88,1,28943357,8683007100,Zabelia_dielsii,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675543,Phylogenetic analyses of Caprifoliaceae,Symphoricarpos orbiculatus,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769483,,3635.97,1,40281985,12084595500,Symphoricarpos_orbiculatus,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675542,Phylogenetic analyses of Caprifoliaceae,Sambucus williamsii,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769484,,3747.02,1,42068279,12620483700,Sambucus_williamsii,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10675540,Phylogenetic analyses of Caprifoliaceae,Abelia chinensis,Illumina NovaSeq 6000,Taizhou University,SRP316224,Phylogenetic analyses of  Caprifoliaceae,SRS8769481,,4338.82,1,48729041,14618712300,Abelia_chinensis,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX10667325,GSM5263980: SqY2; Stenocereus queretaroensis; RNA-Seq,Stenocereus queretaroensis,Illumina NovaSeq 6000,GEO,SRP316098,De novo transcriptome assembly of Stenocereus queretaroensis suspension cells and DEG nalysis,SRS8761797,,4589.45,1,50258435,15077530500,,RNA-Seq,TRANSCRIPTOMIC,cDNA
